model,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc
K-Nearest Neighbors,0.7942583732057417,0.5404107762069885,0.7941176470588235,0.9938650306748467,0.8828337874659401,0.7341957855428114
Gradient Boosting,0.7942583732057417,0.5638170178714323,0.803030303030303,0.9754601226993865,0.8808864265927978,0.7572686049613231
Dummy Classifier,0.7799043062200957,0.5,0.7799043062200957,1.0,0.8763440860215054,0.5
Neural Network / MLP,0.7751196172248804,0.49693251533742333,0.7788461538461539,0.9938650306748467,0.8733153638814016,0.6799146439050414
Random Forest,0.7751196172248804,0.5593491597759402,0.8020833333333334,0.9447852760736196,0.8676056338028169,0.7887436649773273
Support Vector Machine,0.7655502392344498,0.6234329154441185,0.8313953488372093,0.8773006134969326,0.8537313432835821,0.737396639103761
Decision Tree,0.7559808612440191,0.6329021072285943,0.8373493975903614,0.852760736196319,0.8449848024316109,0.6365697519338489
Logistic Regression,0.7033492822966507,0.6615764203787677,0.8633093525179856,0.7361963190184049,0.7947019867549668,0.7401973859695918
