model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc
GradientBoosting,0.7942583732057417,0.6028274206455054,0.7646267506289903,0.7942583732057417,0.7632007223523327,0.6178509163583791,0.7782075220058683
RandomForest,0.7942583732057417,0.5794211789810616,0.7632170867656488,0.7942583732057417,0.7509125228254295,0.587316893970703,0.7761403040810883
LogisticRegression,0.7033492822966507,0.653774339823953,0.7534338177905796,0.7033492822966507,0.7212394023335851,0.6260964912280702,0.7329954654574553
DummyClassifier_MostFrequent,0.7799043062200957,0.5,0.6082507268606487,0.7799043062200957,0.683464526418686,0.4381720430107527,0.5
DecisionTree,0.6172248803827751,0.6453720992264604,0.7534059789698887,0.6172248803827751,0.6500153280791006,0.5762368207623683,0.7317951453720993
